from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,5,0.0,2017-05-20 22:59:27 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,5,0.0,2017-05-20 22:59:27 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,6,0.0,2017-05-20 23:00:22 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,6,0.0,2017-05-20 23:00:22 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,0xd1b68a2d301ea75b9e8dfb1efb54f733df3dfc6c,6,0.02,2017-07-29 07:46:20 UTC,0x2b065809f6ec6df32878bcd26711a0e2bcf59c26
0x0d6e198892a124fde9956d581b193832e3a8f583,0xd27c64f6dfd5d20ccafe9561863d5be12e100580,2,0.36670798,2017-07-29 14:51:50 UTC,0x0d6e198892a124fde9956d581b193832e3a8f583
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,0x0e16368ec4ecf1f6bbce431d6bd03815c99d1c9d,5,0.1,2017-07-26 16:54:16 UTC,0x2b065809f6ec6df32878bcd26711a0e2bcf59c26
0x00e01a648ff41346cdeb873182383333d2184dd1,0x75a79bfa1741baea78e7f032f866fb2b71efd339,2,25.0,2017-07-26 10:49:03 UTC,0x00e01a648ff41346cdeb873182383333d2184dd1
0x00e01a648ff41346cdeb873182383333d2184dd1,0x7154f85ef72d1d78ba320556cab9d2ad0ab61e26,3,25.0,2017-07-26 10:49:58 UTC,0x00e01a648ff41346cdeb873182383333d2184dd1
0x00e01a648ff41346cdeb873182383333d2184dd1,0x951a1ec650bce63988018565b441c17e052b3991,4,25.0,2017-07-26 10:53:12 UTC,0x00e01a648ff41346cdeb873182383333d2184dd1
